,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
153,2020-06-10,10,6,2020,36,0,Albania,AL,ALB,2866376.0,Europe
154,2020-06-09,9,6,2020,17,0,Albania,AL,ALB,2866376.0,Europe
155,2020-06-08,8,6,2020,14,0,Albania,AL,ALB,2866376.0,Europe
156,2020-06-07,7,6,2020,20,1,Albania,AL,ALB,2866376.0,Europe
157,2020-06-06,6,6,2020,15,0,Albania,AL,ALB,2866376.0,Europe
158,2020-06-05,5,6,2020,13,0,Albania,AL,ALB,2866376.0,Europe
159,2020-06-04,4,6,2020,20,0,Albania,AL,ALB,2866376.0,Europe
160,2020-06-03,3,6,2020,21,0,Albania,AL,ALB,2866376.0,Europe
161,2020-06-02,2,6,2020,6,0,Albania,AL,ALB,2866376.0,Europe
162,2020-06-01,1,6,2020,15,0,Albania,AL,ALB,2866376.0,Europe
163,2020-05-31,31,5,2020,23,0,Albania,AL,ALB,2866376.0,Europe
164,2020-05-30,30,5,2020,23,0,Albania,AL,ALB,2866376.0,Europe
165,2020-05-29,29,5,2020,26,0,Albania,AL,ALB,2866376.0,Europe
166,2020-05-28,28,5,2020,21,0,Albania,AL,ALB,2866376.0,Europe
167,2020-05-27,27,5,2020,25,1,Albania,AL,ALB,2866376.0,Europe
168,2020-05-26,26,5,2020,6,0,Albania,AL,ALB,2866376.0,Europe
169,2020-05-25,25,5,2020,9,1,Albania,AL,ALB,2866376.0,Europe
170,2020-05-24,24,5,2020,8,0,Albania,AL,ALB,2866376.0,Europe
171,2020-05-23,23,5,2020,12,0,Albania,AL,ALB,2866376.0,Europe
172,2020-05-22,22,5,2020,5,0,Albania,AL,ALB,2866376.0,Europe
173,2020-05-21,21,5,2020,15,0,Albania,AL,ALB,2866376.0,Europe
174,2020-05-20,20,5,2020,1,0,Albania,AL,ALB,2866376.0,Europe
175,2020-05-19,19,5,2020,2,0,Albania,AL,ALB,2866376.0,Europe
176,2020-05-18,18,5,2020,13,0,Albania,AL,ALB,2866376.0,Europe
177,2020-05-17,17,5,2020,17,0,Albania,AL,ALB,2866376.0,Europe
178,2020-05-16,16,5,2020,18,0,Albania,AL,ALB,2866376.0,Europe
179,2020-05-15,15,5,2020,18,0,Albania,AL,ALB,2866376.0,Europe
180,2020-05-14,14,5,2020,4,0,Albania,AL,ALB,2866376.0,Europe
181,2020-05-13,13,5,2020,4,0,Albania,AL,ALB,2866376.0,Europe
182,2020-05-12,12,5,2020,4,0,Albania,AL,ALB,2866376.0,Europe
183,2020-05-11,11,5,2020,12,0,Albania,AL,ALB,2866376.0,Europe
184,2020-05-10,10,5,2020,6,0,Albania,AL,ALB,2866376.0,Europe
185,2020-05-09,9,5,2020,8,0,Albania,AL,ALB,2866376.0,Europe
186,2020-05-08,8,5,2020,10,0,Albania,AL,ALB,2866376.0,Europe
187,2020-05-07,7,5,2020,12,0,Albania,AL,ALB,2866376.0,Europe
188,2020-05-06,6,5,2020,17,0,Albania,AL,ALB,2866376.0,Europe
189,2020-05-05,5,5,2020,8,0,Albania,AL,ALB,2866376.0,Europe
190,2020-05-04,4,5,2020,6,0,Albania,AL,ALB,2866376.0,Europe
191,2020-05-03,3,5,2020,7,0,Albania,AL,ALB,2866376.0,Europe
192,2020-05-02,2,5,2020,9,0,Albania,AL,ALB,2866376.0,Europe
193,2020-05-01,1,5,2020,7,0,Albania,AL,ALB,2866376.0,Europe
194,2020-04-30,30,4,2020,16,1,Albania,AL,ALB,2866376.0,Europe
195,2020-04-29,29,4,2020,14,2,Albania,AL,ALB,2866376.0,Europe
196,2020-04-28,28,4,2020,10,0,Albania,AL,ALB,2866376.0,Europe
197,2020-04-27,27,4,2020,14,1,Albania,AL,ALB,2866376.0,Europe
198,2020-04-26,26,4,2020,34,0,Albania,AL,ALB,2866376.0,Europe
199,2020-04-25,25,4,2020,15,0,Albania,AL,ALB,2866376.0,Europe
200,2020-04-24,24,4,2020,29,0,Albania,AL,ALB,2866376.0,Europe
201,2020-04-23,23,4,2020,25,1,Albania,AL,ALB,2866376.0,Europe
202,2020-04-22,22,4,2020,25,0,Albania,AL,ALB,2866376.0,Europe
203,2020-04-21,21,4,2020,22,0,Albania,AL,ALB,2866376.0,Europe
204,2020-04-20,20,4,2020,14,0,Albania,AL,ALB,2866376.0,Europe
205,2020-04-19,19,4,2020,9,0,Albania,AL,ALB,2866376.0,Europe
206,2020-04-18,18,4,2020,21,0,Albania,AL,ALB,2866376.0,Europe
207,2020-04-17,17,4,2020,24,1,Albania,AL,ALB,2866376.0,Europe
208,2020-04-16,16,4,2020,19,1,Albania,AL,ALB,2866376.0,Europe
209,2020-04-15,15,4,2020,8,1,Albania,AL,ALB,2866376.0,Europe
210,2020-04-14,14,4,2020,21,0,Albania,AL,ALB,2866376.0,Europe
211,2020-04-13,13,4,2020,13,0,Albania,AL,ALB,2866376.0,Europe
212,2020-04-12,12,4,2020,17,0,Albania,AL,ALB,2866376.0,Europe
213,2020-04-11,11,4,2020,7,0,Albania,AL,ALB,2866376.0,Europe
214,2020-04-10,10,4,2020,9,1,Albania,AL,ALB,2866376.0,Europe
215,2020-04-09,9,4,2020,17,0,Albania,AL,ALB,2866376.0,Europe
216,2020-04-08,8,4,2020,6,0,Albania,AL,ALB,2866376.0,Europe
217,2020-04-07,7,4,2020,16,1,Albania,AL,ALB,2866376.0,Europe
218,2020-04-06,6,4,2020,28,2,Albania,AL,ALB,2866376.0,Europe
219,2020-04-05,5,4,2020,29,2,Albania,AL,ALB,2866376.0,Europe
220,2020-04-04,4,4,2020,27,1,Albania,AL,ALB,2866376.0,Europe
221,2020-04-03,3,4,2020,18,1,Albania,AL,ALB,2866376.0,Europe
222,2020-04-02,2,4,2020,16,0,Albania,AL,ALB,2866376.0,Europe
223,2020-04-01,1,4,2020,20,3,Albania,AL,ALB,2866376.0,Europe
224,2020-03-31,31,3,2020,11,2,Albania,AL,ALB,2866376.0,Europe
225,2020-03-30,30,3,2020,15,0,Albania,AL,ALB,2866376.0,Europe
226,2020-03-29,29,3,2020,11,1,Albania,AL,ALB,2866376.0,Europe
227,2020-03-28,28,3,2020,12,3,Albania,AL,ALB,2866376.0,Europe
228,2020-03-27,27,3,2020,28,1,Albania,AL,ALB,2866376.0,Europe
229,2020-03-26,26,3,2020,23,0,Albania,AL,ALB,2866376.0,Europe
230,2020-03-25,25,3,2020,23,1,Albania,AL,ALB,2866376.0,Europe
231,2020-03-24,24,3,2020,11,2,Albania,AL,ALB,2866376.0,Europe
232,2020-03-23,23,3,2020,13,0,Albania,AL,ALB,2866376.0,Europe
233,2020-03-22,22,3,2020,6,0,Albania,AL,ALB,2866376.0,Europe
234,2020-03-21,21,3,2020,0,0,Albania,AL,ALB,2866376.0,Europe
